SEQ,HEAT_NO,STRAND_NO,MARKING_CODE,CUT_START_TIME,CUT_END_TIME,MOLD_START_TIME,MOLD_END_TIME,TORCH_LENGTH,CAST_LENGTH,CAST_SPEED,REAL_CUT_LENGTH,WEIGHT
8184904,4G8153,2,4G815321026002O,2023/07/05 05:15:42,2023/07/05 05:19:15,2023/07/05 04:29:44,2023/07/05 04:33:17,10260,163,0.62,10300,6100
8184905,4G8153,5,4G815351026002O,2023/07/05 05:15:43,2023/07/05 05:19:19,2023/07/05 04:29:36,2023/07/05 04:33:12,10260,163,0.618,10210,6066
8184923,4G8153,4,4G815341026002O,2023/07/05 05:16:17,2023/07/05 05:19:47,2023/07/05 04:30:23,2023/07/05 04:33:53,10260,162,0.621,10250,6104
8184943,4G8153,1,4G815311026002O,2023/07/05 05:16:22,2023/07/05 05:20:00,2023/07/05 04:30:19,2023/07/05 04:33:57,10260,162,0.619,10280,6070
8184984,4G8153,6,4G815361026003O,2023/07/05 05:31:38,2023/07/05 05:35:32,2023/07/05 04:45:27,2023/07/05 04:49:21,10260,172,0.617,10230,6184
8185003,4G8153,2,4G815321026003O,2023/07/05 05:32:06,2023/07/05 05:35:40,2023/07/05 04:46:03,2023/07/05 04:49:37,10260,173,0.619,10390,6128
8185043,4G8153,1,4G815311026003O,2023/07/05 05:32:39,2023/07/05 05:36:17,2023/07/05 04:46:41,2023/07/05 04:50:19,10260,172,0.62,10370,6122
8184983,4G8153,5,4G815351026003O,2023/07/05 05:31:54,2023/07/05 05:35:30,2023/07/05 04:45:51,2023/07/05 04:49:27,10260,173,0.619,10300,6150
8185023,4G8153,4,4G815341026003O,2023/07/05 05:32:39,2023/07/05 05:36:09,2023/07/05 04:46:41,2023/07/05 04:50:11,10260,172,0.62,10340,6138
8184963,4G8153,3,4G815331035003O,2023/07/05 05:31:15,2023/07/05 05:34:59,2023/07/05 04:45:17,2023/07/05 04:49:01,10350,172,0.62,10230,6190
8185083,4G8154,6,4G815461035001O,2023/07/05 05:47:50,2023/07/05 05:51:40,2023/07/05 05:01:43,2023/07/05 05:05:33,10350,182,0.618,10150,6252
8185084,4G8154,5,4G815451035001O,2023/07/05 05:48:10,2023/07/05 05:51:46,2023/07/05 05:02:07,2023/07/05 05:05:43,10350,183,0.619,10250,6228
8185063,4G8154,3,4G815431035001O,2023/07/05 05:47:32,2023/07/05 05:51:14,2023/07/05 05:01:34,2023/07/05 05:05:16,10350,183,0.62,10230,6248
8185123,4G8154,4,4G815441035001O,2023/07/05 05:49:07,2023/07/05 05:52:38,2023/07/05 05:03:09,2023/07/05 05:06:40,10350,182,0.62,10340,6252
8185103,4G8154,2,4G815421035001O,2023/07/05 05:48:33,2023/07/05 05:52:07,2023/07/05 05:02:39,2023/07/05 05:06:13,10350,183,0.621,10340,6204
